screenshot_id;side;slot;avatar_file;name_file;visual_hero_uid;visual_hero_name;visual_status;visual_similarity;visual_margin;ocr_text;ocr_confidence;ocr_status;ocr_matched_hero_uid;ocr_matched_hero_name;ocr_matched_alias;ocr_match_method;ocr_match_score;ocr_alias_key;ocr_cleaned_alias_key;decision;final_hero_uid;final_hero_name;review_required
22480;L;1;22480_Screenshot_20260129_204724_Hero_Wars__L1.png;22480_Screenshot_20260129_204724_Hero_Wars__L1.png;HW_HERO_0018;Iris;ACCEPTED;0.975689;0.070164;Iris C;0.8147282369284371;MEDIUM;;;Iris;NO_MATCH;0.8;iris c;;VISUAL_ONLY;HW_HERO_0018;Iris;0
22480;L;2;22480_Screenshot_20260129_204724_Hero_Wars__L2.png;22480_Screenshot_20260129_204724_Hero_Wars__L2.png;HW_HERO_0047;Soleil;ACCEPTED;0.958449;0.103132;Soleil;0.9999445679546158;HIGH;HW_HERO_0047;Soleil;Soleil;EXACT_ALIAS;1.0;soleil;soleil;CONFIRMED;HW_HERO_0047;Soleil;0
22480;L;3;22480_Screenshot_20260129_204724_Hero_Wars__L3.png;22480_Screenshot_20260129_204724_Hero_Wars__L3.png;HW_HERO_0048;Somna;ACCEPTED;0.963449;0.113913;Somna;0.999907129960849;HIGH;HW_HERO_0048;Somna;Somna;EXACT_ALIAS;1.0;somna;somna;CONFIRMED;HW_HERO_0048;Somna;0
22480;L;4;22480_Screenshot_20260129_204724_Hero_Wars__L4.png;22480_Screenshot_20260129_204724_Hero_Wars__L4.png;HW_HERO_0049;Tempus;ACCEPTED;0.976262;0.119731;Tempus;0.9999570755089463;HIGH;HW_HERO_0049;Tempus;Tempus;EXACT_ALIAS;1.0;tempus;tempus;CONFIRMED;HW_HERO_0049;Tempus;0
22480;L;5;22480_Screenshot_20260129_204724_Hero_Wars__L5.png;22480_Screenshot_20260129_204724_Hero_Wars__L5.png;HW_HERO_0036;Nébula;ACCEPTED;0.971136;0.08181;Nébula;0.9998797422458324;HIGH;HW_HERO_0036;Nébula;Nébula;EXACT_ALIAS;1.0;nebula;nebula;CONFIRMED;HW_HERO_0036;Nébula;0
22480;R;1;22480_Screenshot_20260129_204724_Hero_Wars__R1.png;22480_Screenshot_20260129_204724_Hero_Wars__R1.png;HW_HERO_0048;Somna;ACCEPTED;0.96183;0.104302;Somna;0.9998524310572435;HIGH;HW_HERO_0048;Somna;Somna;EXACT_ALIAS;1.0;somna;somna;CONFIRMED;HW_HERO_0048;Somna;0
22480;R;2;22480_Screenshot_20260129_204724_Hero_Wars__R2.png;22480_Screenshot_20260129_204724_Hero_Wars__R2.png;HW_HERO_0026;Kayla;ACCEPTED;0.973038;0.109454;Kayla;0.999970625028811;HIGH;HW_HERO_0026;Kayla;Kayla;EXACT_ALIAS;1.0;kayla;kayla;CONFIRMED;HW_HERO_0026;Kayla;0
22480;R;3;22480_Screenshot_20260129_204724_Hero_Wars__R3.png;22480_Screenshot_20260129_204724_Hero_Wars__R3.png;HW_HERO_0039;Oya;ACCEPTED;0.950026;0.082761;Oya;0.9998291082016558;HIGH;HW_HERO_0039;Oya;Oya;EXACT_ALIAS;1.0;oya;oya;CONFIRMED;HW_HERO_0039;Oya;0
22480;R;4;22480_Screenshot_20260129_204724_Hero_Wars__R4.png;22480_Screenshot_20260129_204724_Hero_Wars__R4.png;HW_HERO_0001;Aidan;ACCEPTED;0.980265;0.096056;Aidan;0.9999755297497771;HIGH;HW_HERO_0001;Aidan;Aidan;EXACT_ALIAS;1.0;aidan;aidan;CONFIRMED;HW_HERO_0001;Aidan;0
22480;R;5;22480_Screenshot_20260129_204724_Hero_Wars__R5.png;22480_Screenshot_20260129_204724_Hero_Wars__R5.png;HW_HERO_0003;Astaroth;ACCEPTED;0.921712;0.137854;Astaroth;0.9999779149503636;HIGH;HW_HERO_0003;Astaroth;Astaroth;EXACT_ALIAS;1.0;astaroth;astaroth;CONFIRMED;HW_HERO_0003;Astaroth;0
22660;L;1;22660_0978500A-117D-4E20-8582-F95469391E3E__L1.png;22660_0978500A-117D-4E20-8582-F95469391E3E__L1.png;HW_HERO_0045;Satori;ACCEPTED;0.984457;0.074394;Satori;0.6324506806952419;MEDIUM;HW_HERO_0045;Satori;Satori;EXACT_ALIAS;1.0;satori;satori;CONFIRMED;HW_HERO_0045;Satori;0
22660;L;2;22660_0978500A-117D-4E20-8582-F95469391E3E__L2.png;22660_0978500A-117D-4E20-8582-F95469391E3E__L2.png;HW_HERO_0030;Lian;ACCEPTED;0.97462;0.073076;Lian;0.9978792667388916;HIGH;HW_HERO_0030;Lian;Lian;EXACT_ALIAS;1.0;lian;lian;CONFIRMED;HW_HERO_0030;Lian;0
22660;L;3;22660_0978500A-117D-4E20-8582-F95469391E3E__L3.png;22660_0978500A-117D-4E20-8582-F95469391E3E__L3.png;HW_HERO_0003;Astaroth;ACCEPTED;0.955492;0.176305;Astaroth;0.9999751332313122;HIGH;HW_HERO_0003;Astaroth;Astaroth;EXACT_ALIAS;1.0;astaroth;astaroth;CONFIRMED;HW_HERO_0003;Astaroth;0
22660;L;4;22660_0978500A-117D-4E20-8582-F95469391E3E__L4.png;22660_0978500A-117D-4E20-8582-F95469391E3E__L4.png;HW_HERO_0001;Aidan;ACCEPTED;0.972556;0.093065;Aidan;0.9999769691782173;HIGH;HW_HERO_0001;Aidan;Aidan;EXACT_ALIAS;1.0;aidan;aidan;CONFIRMED;HW_HERO_0001;Aidan;0
22660;L;5;22660_0978500A-117D-4E20-8582-F95469391E3E__L5.png;22660_0978500A-117D-4E20-8582-F95469391E3E__L5.png;HW_HERO_0054;Amira;ACCEPTED;0.988498;0.100767;Amira;0.9933410145463132;HIGH;HW_HERO_0054;Amira;Amira;EXACT_ALIAS;1.0;amira;amira;CONFIRMED;HW_HERO_0054;Amira;0
22660;R;1;22660_0978500A-117D-4E20-8582-F95469391E3E__R1.png;22660_0978500A-117D-4E20-8582-F95469391E3E__R1.png;HW_HERO_0018;Iris;ACCEPTED;0.969518;0.081178;Iris;0.9993012547492981;HIGH;HW_HERO_0018;Iris;Iris;EXACT_ALIAS;1.0;iris;iris;CONFIRMED;HW_HERO_0018;Iris;0
22660;R;2;22660_0978500A-117D-4E20-8582-F95469391E3E__R2.png;22660_0978500A-117D-4E20-8582-F95469391E3E__R2.png;HW_HERO_0042;Polaris;ACCEPTED;0.941982;0.063327;Polaris;0.999982788225427;HIGH;HW_HERO_0042;Polaris;Polaris;EXACT_ALIAS;1.0;polaris;polaris;CONFIRMED;HW_HERO_0042;Polaris;0
22660;R;3;22660_0978500A-117D-4E20-8582-F95469391E3E__R3.png;22660_0978500A-117D-4E20-8582-F95469391E3E__R3.png;HW_HERO_0049;Tempus;ACCEPTED;0.948764;0.122595;Tempus;0.9997378029377221;HIGH;HW_HERO_0049;Tempus;Tempus;EXACT_ALIAS;1.0;tempus;tempus;CONFIRMED;HW_HERO_0049;Tempus;0
22660;R;4;22660_0978500A-117D-4E20-8582-F95469391E3E__R4.png;22660_0978500A-117D-4E20-8582-F95469391E3E__R4.png;HW_HERO_0001;Aidan;ACCEPTED;0.974554;0.090734;Aidan;0.9999571903437976;HIGH;HW_HERO_0001;Aidan;Aidan;EXACT_ALIAS;1.0;aidan;aidan;CONFIRMED;HW_HERO_0001;Aidan;0
22660;R;5;22660_0978500A-117D-4E20-8582-F95469391E3E__R5.png;22660_0978500A-117D-4E20-8582-F95469391E3E__R5.png;HW_HERO_0011;Dorian;ACCEPTED;0.952313;0.088213;Dorian;0.9999673443307705;HIGH;HW_HERO_0011;Dorian;Dorian;EXACT_ALIAS;1.0;dorian;dorian;CONFIRMED;HW_HERO_0011;Dorian;0
23224;L;1;23224_Screenshot_20260113_105929_Hero_Wars__L1.png;23224_Screenshot_20260113_105929_Hero_Wars__L1.png;HW_HERO_0010;Dante;ACCEPTED;0.951289;0.061205;Dante I;0.887440553219284;HIGH;HW_HERO_0010;Dante;Dante;VISUAL_ALIAS_EDGE_NOISE;1.0;dante i;dante;CONFIRMED;HW_HERO_0010;Dante;0
