screenshot_id;side;slot;avatar_file;name_file;visual_hero_uid;visual_hero_name;visual_status;visual_similarity;visual_margin;ocr_text;ocr_confidence;ocr_status;ocr_matched_hero_uid;ocr_matched_hero_name;ocr_matched_alias;ocr_match_method;ocr_match_score;ocr_alias_key;decision;final_hero_uid;final_hero_name;review_required
23003;L;1;23003_Screenshot_20260120_101255_Hero_Wars__L1.png;23003_Screenshot_20260120_101255_Hero_Wars__L1.png;HW_HERO_0018;Iris;ACCEPTED;0.980073;0.091145;Iris;0.9995948076248169;HIGH;HW_HERO_0018;Iris;Iris;EXACT_ALIAS;1.0;iris;CONFIRMED;HW_HERO_0018;Iris;0
23003;L;2;23003_Screenshot_20260120_101255_Hero_Wars__L2.png;23003_Screenshot_20260120_101255_Hero_Wars__L2.png;HW_HERO_0042;Polaris;ACCEPTED;0.978196;0.099824;Polaris;0.9999835091393702;HIGH;HW_HERO_0042;Polaris;Polaris;EXACT_ALIAS;1.0;polaris;CONFIRMED;HW_HERO_0042;Polaris;0
23003;L;3;23003_Screenshot_20260120_101255_Hero_Wars__L3.png;23003_Screenshot_20260120_101255_Hero_Wars__L3.png;HW_HERO_0024;Julius;ACCEPTED;0.976959;0.134169;Julius;0.9999954253007136;HIGH;HW_HERO_0024;Julius;Julius;EXACT_ALIAS;1.0;julius;CONFIRMED;HW_HERO_0024;Julius;0
23003;L;4;23003_Screenshot_20260120_101255_Hero_Wars__L4.png;23003_Screenshot_20260120_101255_Hero_Wars__L4.png;HW_HERO_0047;Soleil;ACCEPTED;0.957462;0.091946;Soleil;0.9998793042310741;HIGH;HW_HERO_0047;Soleil;Soleil;EXACT_ALIAS;1.0;soleil;CONFIRMED;HW_HERO_0047;Soleil;0
23003;L;5;23003_Screenshot_20260120_101255_Hero_Wars__L5.png;23003_Screenshot_20260120_101255_Hero_Wars__L5.png;HW_HERO_0036;Nébula;ACCEPTED;0.955835;0.079148;Nebula;0.9999446652898047;HIGH;HW_HERO_0036;Nébula;Nébula;EXACT_ALIAS;1.0;nebula;CONFIRMED;HW_HERO_0036;Nébula;0
23003;R;1;23003_Screenshot_20260120_101255_Hero_Wars__R1.png;23003_Screenshot_20260120_101255_Hero_Wars__R1.png;HW_HERO_0024;Julius;ACCEPTED;0.97042;0.129059;Julius;0.9999974693158696;HIGH;HW_HERO_0024;Julius;Julius;EXACT_ALIAS;1.0;julius;CONFIRMED;HW_HERO_0024;Julius;0
23003;R;2;23003_Screenshot_20260120_101255_Hero_Wars__R2.png;23003_Screenshot_20260120_101255_Hero_Wars__R2.png;HW_HERO_0005;Cascade;ACCEPTED;0.925809;0.039682;Cascade;0.9287326053569439;HIGH;HW_HERO_0005;Cascade;Cascade;EXACT_ALIAS;1.0;cascade;CONFIRMED;HW_HERO_0005;Cascade;0
23003;R;3;23003_Screenshot_20260120_101255_Hero_Wars__R3.png;23003_Screenshot_20260120_101255_Hero_Wars__R3.png;HW_HERO_0014;Folio;ACCEPTED;0.979227;0.127238;Folio;0.9999757429984504;HIGH;HW_HERO_0014;Folio;Folio;EXACT_ALIAS;1.0;folio;CONFIRMED;HW_HERO_0014;Folio;0
23003;R;4;23003_Screenshot_20260120_101255_Hero_Wars__R4.png;23003_Screenshot_20260120_101255_Hero_Wars__R4.png;HW_HERO_0023;Juge;ACCEPTED;0.968258;0.135499;Judge;0.9999988804476111;HIGH;;;Juge;NO_MATCH;0.8888888888888888;judge;NEW_ALIAS_CANDIDATE;HW_HERO_0023;Juge;1
23003;R;5;23003_Screenshot_20260120_101255_Hero_Wars__R5.png;23003_Screenshot_20260120_101255_Hero_Wars__R5.png;HW_HERO_0042;Polaris;ACCEPTED;0.97975;0.107527;Polaris;0.9998741535876711;HIGH;HW_HERO_0042;Polaris;Polaris;EXACT_ALIAS;1.0;polaris;CONFIRMED;HW_HERO_0042;Polaris;0
